ADM4_EN,ADM4_PCODE,ADM4_REF,ADM4ALT1_EN,ADM4ALT2_EN,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Barera,BD20192715,,,,Chandina,BD201927,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,12.6464453724235
Bargachha,BD50648510,,,,Raninagar,BD506485,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,45.7994897351573
Barguna,BD10042828,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,21.815931116036
Barhatta,BD45720923,,,,Barhatta,BD457209,Netrakona,BD4572,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,37.6572142891953
Baria,BD30333025,,,,Gazipur Sadar,BD303330,Gazipur,BD3033,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,41.696925334771
Bariadyala,BD20158628,,,,Sitakunda,BD201586,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,28.4998982540015
Baribari,BD30483325,,,,Itna,BD304833,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,34.7700739868538
Barikandi,BD20128512,,,,Nabinagar,BD201285,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,15.4549970388697
Barisal,BD55326713,,,,Palashbari,BD553267,Gaibandha,BD5532,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,20.6465408389959
Barishaba,BD30333613,,,,Kapasia,BD303336,Gazipur,BD3033,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,39.3297030979982
Barkait (purba Chandina Uni),BD20192739,,,,Chandina,BD201927,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,16.3144406810656
Barkal,BD20151819,,,,Chandanaish,BD201518,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,12.45549697615
Barkal,BD20842147,,,,Barkal,BD208421,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,120.783967864176
Barkamta,BD20194023,,,,Debidwar,BD201940,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,12.8824679694862
Barkashia Biramp,BD45726310,,,,Mohanganj,BD457263,Netrakona,BD4572,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,19.4161867332704
Barlekha,BD60581413,,,,Barlekha,BD605814,Maulvibazar,BD6058,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,14.6926384436643
Barlekha Paurashava,BD60581499,,,,Barlekha,BD605814,Maulvibazar,BD6058,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,28.9999204996286
Barmachhari,BD20466123,,,,Lakshmichhari,BD204661,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,53.79091330769349
Barmi,BD30338621,,,,Sreepur,BD303386,Gazipur,BD3033,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,51.7659418823828
Barni,BD30359119,,,,Tungi Para,BD303591,Gopalganj,BD3035,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,13.3227058531267
Barni,BD60581415,,,,Barlekha,BD605814,Maulvibazar,BD6058,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,15.0027011072988
Baroiar Hat Paurashava,BD20155300,,,,Mirsharai,BD201553,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,9.467972086555921
