year,month,rate_type,exchange_rate_value,end_of_period_rate,period_average_rate
2015,5,"US Dollars per National Currency,Period average",0.0128534704370179,0,1
2015,6,"National Currency per US Dollar, End of period",77.8004,1,0
2015,6,"National Currency per US Dollar, Period average",77.8,0,1
2015,6,"US Dollars per National Currency,Period average",0.0128534704370179,0,1
2015,7,"National Currency per US Dollar, End of period",77.8,1,0
2015,7,"National Currency per US Dollar, Period average",77.8,0,1
2015,7,"US Dollars per National Currency,Period average",0.0128534704370179,0,1
2015,8,"National Currency per US Dollar, End of period",77.8,1,0
2015,8,"National Currency per US Dollar, Period average",77.8,0,1
2015,8,"US Dollars per National Currency,Period average",0.0128534704370179,0,1
2015,9,"National Currency per US Dollar, End of period",77.8,1,0
2015,9,"National Currency per US Dollar, Period average",77.8001,0,1
2015,9,"US Dollars per National Currency,Period average",0.012853453915869,0,1
2015,10,"National Currency per US Dollar, End of period",77.8,1,0
2015,10,"National Currency per US Dollar, Period average",77.8143,0,1
2015,10,"US Dollars per National Currency,Period average",0.0128511083438391,0,1
2015,11,"National Currency per US Dollar, End of period",78.93,1,0
2015,11,"National Currency per US Dollar, Period average",78.511,0,1
2015,11,"US Dollars per National Currency,Period average",0.0127370686910114,0,1
2015,12,"National Currency per US Dollar, End of period",78.5003,1,0
2015,12,"National Currency per US Dollar, Period average",78.7662,0,1
2015,12,"US Dollars per National Currency,Period average",0.0126958009907803,0,1
2016,1,"National Currency per US Dollar, End of period",78.5014,1,0
2016,1,"National Currency per US Dollar, Period average",78.5001,0,1
2016,1,"US Dollars per National Currency,Period average",0.0127388372753665,0,1
2016,2,"National Currency per US Dollar, End of period",78.45,1,0
2016,2,"National Currency per US Dollar, Period average",78.5516,0,1
2016,2,"US Dollars per National Currency,Period average",0.0127304854388707,0,1
2016,3,"National Currency per US Dollar, End of period",78.4,1,0
2016,3,"National Currency per US Dollar, Period average",78.4134,0,1
2016,3,"US Dollars per National Currency,Period average",0.0127529223321524,0,1
2016,4,"National Currency per US Dollar, End of period",78.4,1,0
2016,4,"National Currency per US Dollar, Period average",78.4,0,1
2016,4,"US Dollars per National Currency,Period average",0.0127551020408163,0,1
2016,5,"National Currency per US Dollar, End of period",78.4,1,0
2016,5,"National Currency per US Dollar, Period average",78.4,0,1
2016,5,"US Dollars per National Currency,Period average",0.0127551020408163,0,1
2016,6,"National Currency per US Dollar, End of period",78.4,1,0
2016,6,"National Currency per US Dollar, Period average",78.4,0,1
2016,6,"US Dollars per National Currency,Period average",0.0127551020408163,0,1
2016,7,"National Currency per US Dollar, End of period",78.4,1,0
2016,7,"National Currency per US Dollar, Period average",78.4,0,1
2016,7,"US Dollars per National Currency,Period average",0.0127551020408163,0,1
2016,8,"National Currency per US Dollar, End of period",78.4,1,0
2016,8,"National Currency per US Dollar, Period average",78.4,0,1
2016,8,"US Dollars per National Currency,Period average",0.0127551020408163,0,1
2016,9,"National Currency per US Dollar, End of period",78.4,1,0
2016,9,"National Currency per US Dollar, Period average",78.4,0,1
2016,9,"US Dollars per National Currency,Period average",0.0127551020408163,0,1
2016,10,"National Currency per US Dollar, End of period",78.4148,1,0
2016,10,"National Currency per US Dollar, Period average",78.4008,0,1
2016,10,"US Dollars per National Currency,Period average",0.0127549718880419,0,1
2016,11,"National Currency per US Dollar, End of period",78.7197,1,0
2016,11,"National Currency per US Dollar, Period average",78.5472,0,1
2016,11,"US Dollars per National Currency,Period average",0.0127311985659577,0,1
2016,12,"National Currency per US Dollar, End of period",78.7022,1,0
2016,12,"National Currency per US Dollar, Period average",78.804,0,1
2016,12,"US Dollars per National Currency,Period average",0.0126897111821734,0,1
2017,1,"National Currency per US Dollar, End of period",79.0695,1,0
2017,1,"National Currency per US Dollar, Period average",78.8534,0,1
2017,1,"US Dollars per National Currency,Period average",0.0126817613444696,0,1
2017,2,"National Currency per US Dollar, End of period",79.3697,1,0
2017,2,"National Currency per US Dollar, Period average",79.236,0,1
2017,2,"US Dollars per National Currency,Period average",0.0126205260235246,0,1
2017,3,"National Currency per US Dollar, End of period",79.67,1,0
2017,3,"National Currency per US Dollar, Period average",79.5352,0,1
2017,3,"US Dollars per National Currency,Period average",0.0125730494171134,0,1
2017,4,"National Currency per US Dollar, End of period",80.23,1,0
2017,4,"National Currency per US Dollar, Period average",79.8322,0,1
2017,4,"US Dollars per National Currency,Period average",0.0125262738594201,0,1
2017,5,"National Currency per US Dollar, End of period",80.5516,1,0
